video_id,video_title,published_date,comment,like_count,comment_date
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,I never saw Vernon being this talkative on gose😂😂,2151,2025-12-18
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,"Mafias and golden bat didn’t even need to lift a finger, Vernon saved them all 😂",2615,2025-12-17
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,"Vernon not being Golden bat was funny, but Seungkwan saying if he isn't Golden bat then he's fool is way funnier to me.",1455,2025-12-18
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,the fact that 22:23 cheolie said that he feels like he’s sitting between the mafias but in reality VERNON IS SITTING BETWEEN THE MAFIAS AND STILL DEFENDING THEM W HIS LIFE ON STAKE NOT KNOWING HE IS DEFENDING THEM 😭,1357,2025-12-19
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,"In every mafia game we get ICONIC DK LINE
"" I BRUSHED MY TEETH!""
"" I HAVE A BRAIN U PUNKS!""😭😭😭😭",644,2025-12-26
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,Dino did really well as the Mafia this time and Scoups not picking Jun cause he might start sulking is too cute 😭,2181,2025-12-17
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,Seungkwan and Mingyu judging Vernon so hard was killing me,3812,2025-12-17
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,This has been the most stressful mafia game they have ever played omds 😭😭😂,4073,2025-12-17
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,Everyone tired of Vernon 😭..this is the first time Vernon is so active and energy in Mafia game HAHAHA 😭🤣...,433,2025-12-18
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,"Mingyu is too calculative for his own good, he was the first one who thought jun is mafia and kept telling them to check board. That's why mafia eliminated him first, being too smart isn't good in mafia 😂",206,2025-12-22
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,"Minghao to DK: But he's not the type to be calculating like that 😭😭😭

DK fought back: Minghao, use your brain, okay? 😭😭😭",1651,2025-12-17
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,not shua just rage baiting the entire game 😭,3395,2025-12-17
Cr9NHLoQjm8,[GOING SEVENTEEN] EP.149 마피아불 #2 (Mafiapoly #2),2025-12-17,"Vernon did all that just to be a civilian lol, watch him go back to being a quiet guy in future mafia games😂",1719,2025-12-17
