video_id,title,video_type,published_date,view_count,like_count,comment_count,duration,like_rate,rewatch_score,thumbnail
04GSqsX0S50,"[COVER] DK X SEUNGKWAN - Die With A Smile (Original Song : Lady Gaga, Bruno Mars)",커버,2025-12-14,5496989,370002,18670,4.216666666666667,0.06730994004172103,100.0,https://i.ytimg.com/vi/04GSqsX0S50/hqdefault.jpg
y8ZOwhdBs7U,[DINO'S DANCEOLOGY] Jorja Smith X Preditah - On My Mind (with DK),퍼포먼스,2025-02-11,447077,77755,3653,1.5666666666666669,0.17391858673114474,62.1,https://i.ytimg.com/vi/y8ZOwhdBs7U/hqdefault.jpg
Uft5Sh_6HGY,Take a photo 📸,기타,2025-08-07,30672224,823480,20111,0.1,0.026847743417627624,60.4,https://i.ytimg.com/vi/Uft5Sh_6HGY/hqdefault.jpg
oLrWwLxpU4k,かわいいだけじゃだめですか？😻,기타,2025-04-27,24526007,1620851,7494,0.25,0.06608703161505254,54.6,https://i.ytimg.com/vi/oLrWwLxpU4k/hqdefault.jpg
-KJlo6qd_3E,❤️‍🔥,기타,2025-01-26,7991085,1009647,3609,0.3,0.1263466725732488,50.0,https://i.ytimg.com/vi/-KJlo6qd_3E/hqdefault.jpg
FIxMEKNIVVA,SEVENTEEN(세븐틴) - 동그라미(Encircled),기타,2025-02-13,4601007,221254,11991,3.9,0.04808816852484684,46.8,https://i.ytimg.com/vi/FIxMEKNIVVA/hqdefault.jpg
PofD3KYXPCw,Oops! 🐱🐈,기타,2025-03-23,57844550,1846973,12346,0.2166666666666666,0.03192993981282593,43.5,https://i.ytimg.com/vi/PofD3KYXPCw/hqdefault.jpg
MtyarTcC7TA,Just a chill guy,기타,2025-02-09,953559,171316,2221,0.7333333333333333,0.17965957009477126,41.9,https://i.ytimg.com/vi/MtyarTcC7TA/hqdefault.jpg
MLMOR6qFp9A,[COVER] 조슈아 - free love (원곡 : HONNE),커버,2025-03-14,1682992,109101,7450,3.5166666666666666,0.06482562008613231,40.3,https://i.ytimg.com/vi/MLMOR6qFp9A/hqdefault.jpg
ZR1mB_2T0dY,[WOO.ZIP] HAPPY WOOZI DAY ❤️,기타,2025-11-22,114777,26031,1561,0.7166666666666667,0.22679630936511672,37.2,https://i.ytimg.com/vi/ZR1mB_2T0dY/hqdefault.jpg
xyi2oFWOVjw,캐럿들~ It’s my birthday 🎂 #shorts #Happy_JOSHUA_Day,기타,2025-01-06,343954,74654,1492,0.2,0.21704646551573756,35.8,https://i.ytimg.com/vi/xyi2oFWOVjw/hqdefault.jpg
c88pDXPyifY,여러분 웃으면 복이 온대요⸝⸝ ᷇࿀ ᷆⸝⸝,기타,2025-02-23,3267405,347765,3164,0.9166666666666666,0.10643461707379404,34.8,https://i.ytimg.com/vi/c88pDXPyifY/hqdefault.jpg
L0SxD8ItnyA,[COVER] 민규 - Glimpse of Us (원곡 : Joji),커버,2024-12-24,10403569,239201,18104,3.8666666666666663,0.022992205847820107,33.8,https://i.ytimg.com/vi/L0SxD8ItnyA/hqdefault.jpg
bB5n26mJm_A,[COVER] JUN - 值得 (Worth It) (원곡 : 郑秀文 (정수문/Sammi Cheng)),커버,2025-01-13,325056,37302,3210,4.2,0.11475561134081512,29.2,https://i.ytimg.com/vi/bB5n26mJm_A/hqdefault.jpg
HhWP20oMbT4,Alright? Let's go,기타,2025-02-22,8578602,1111496,1983,0.2666666666666666,0.12956609946469133,28.2,https://i.ytimg.com/vi/HhWP20oMbT4/hqdefault.jpg
3Jj-tVEif3k,[GOING SEVENTEEN] COMEBACK SPECIAL 'SEVENTEEN TV' TEASER,고잉세븐틴,2025-05-14,1073520,85214,3256,0.75,0.07937812057530368,27.0,https://i.ytimg.com/vi/3Jj-tVEif3k/hqdefault.jpg
JQXra-mU_gk,[슈아 앤 쿡] 뇨롱 쉐프의 셀프 생일 케이크 만들기 🎂 | 근데 이걸로 만들 수 있는 거예요?,기타,2025-01-06,593514,65160,5329,15.083333333333334,0.1097867952567252,26.2,https://i.ytimg.com/vi/JQXra-mU_gk/hqdefault.jpg
4zYFp4kX2nU,SEVENTEEN NEW RINGS CEREMONY : SEVENTEEN WILL CHALLENGE ETERNITY,기타,2025-05-28,564254,87850,3580,13.916666666666666,0.15569229460491196,26.2,https://i.ytimg.com/vi/4zYFp4kX2nU/hqdefault.jpg
LS00dPbtWPY,[EVERY WONWOO] 달이 아름답네요 | 마닐라부터 방콕까지 | 조각 브이로그,기타,2025-04-17,383587,57415,2424,5.683333333333334,0.14967921227778835,26.0,https://i.ytimg.com/vi/LS00dPbtWPY/hqdefault.jpg
BhVu0tIronk,호시 (HOSHI) - I Want You Back,기타,2025-06-15,2609710,125965,6223,3.4,0.048267815197857236,25.2,https://i.ytimg.com/vi/BhVu0tIronk/hqdefault.jpg
_3F5GyO3j0c,#동갑내기 🤝 with #JUN #준 #WONWOO #원우 #SEVENTEEN #세븐틴 #HxW #호시X우지 #96ers #BEAM,기타,2025-03-12,1692556,210489,1895,0.5333333333333333,0.12436161639555796,25.2,https://i.ytimg.com/vi/_3F5GyO3j0c/hqdefault.jpg
rhWZnsaTcd0,😎,기타,2025-02-10,235311,55227,988,0.3666666666666666,0.23469791042492702,25.1,https://i.ytimg.com/vi/rhWZnsaTcd0/hqdefault.jpg
IJio9pn2b58,[SPECIAL VIDEO] SEVENTEEN (세븐틴) - Transformer (@ISAC 2017 Rehearsal ver.),기타,2025-06-19,270636,40782,1680,1.7333333333333334,0.15068948698621026,24.3,https://i.ytimg.com/vi/IJio9pn2b58/hqdefault.jpg
Vkq8unihwls,SEVENTEEN (세븐틴) Official Light Stick Ver.3 10th Anniv. Concept Teaser,티저,2025-03-14,310829,35087,2001,0.4666666666666667,0.11288200264454089,24.3,https://i.ytimg.com/vi/Vkq8unihwls/hqdefault.jpg
5A7qyhj-HjE,SEVENTEEN (세븐틴) 'Tiny Light' Official MV,MV,2026-03-29,690890,77297,2423,3.5,0.11188032827222857,22.6,https://i.ytimg.com/vi/5A7qyhj-HjE/hqdefault.jpg
ZgHhbq2_czQ,#동갑내기 🤝 with #DINO #디노 #LEECHAN #이찬 #HxW #호시X우지 #96ers #BEAM,기타,2025-03-18,730913,108105,1431,0.6166666666666667,0.14790405971709356,22.4,https://i.ytimg.com/vi/ZgHhbq2_czQ/hqdefault.jpg
4IkwzGrpUXs,#청바지챌린지 👖 with #차은우 #CHAEUNWOO #도겸 #DK #승관 #SEUNGKWAN #부석순 #BSS #BSS_TELEPARTY #부석순_청바지 #BSS_CBZ,기타,2025-01-09,2955904,336011,1807,0.4166666666666667,0.11367453070194432,22.1,https://i.ytimg.com/vi/4IkwzGrpUXs/hqdefault.jpg
gi2MOWMYU-8,도겸이의 소리를 찾아서 DK’s ‘journey to sound’,기타,2025-02-15,821036,117557,1450,0.6166666666666667,0.1431812977750062,22.0,https://i.ytimg.com/vi/gi2MOWMYU-8/hqdefault.jpg
55vXlK_iOr0,[GOING SEVENTEEN] COMEBACK SPECIAL : SEVENTEEN TV #1,고잉세븐틴,2025-05-21,4202372,244432,12299,26.816666666666663,0.0581652457231297,21.8,https://i.ytimg.com/vi/55vXlK_iOr0/hqdefault.jpg
6dZ1ynyfJv8,#청바지챌린지 👖 with #범규 #BEOMGYU #투모로우바이투게더 #TOMORROW_X_TOGETHER #승관 #SEUNGKWAN #부석순 #BSS #BSS_TELEPARTY,기타,2025-01-11,1392294,201279,1391,0.6833333333333333,0.14456644932751272,21.1,https://i.ytimg.com/vi/6dZ1ynyfJv8/hqdefault.jpg
JrI4_jUZe98,SEVENTEEN | THE SMURFS (세븐틴 | 스머프) Ver. '음악의 신' Official MV,MV,2025-11-25,882336,95499,2418,4.116666666666666,0.10823427809813949,20.8,https://i.ytimg.com/vi/JrI4_jUZe98/hqdefault.jpg
KVIe1hNU66o,🆖 #SCOUPS #에스쿱스 #MINGYU #민규,기타,2025-07-02,2671857,265295,1901,0.45,0.09929236482341683,20.3,https://i.ytimg.com/vi/KVIe1hNU66o/hqdefault.jpg
bQgikiTB8GU,[SPECIAL VIDEO] 민규 - 시작처럼 (Like the Beginning) Live Clip,INSIDE SEVENTEEN,2025-12-25,1183005,64067,4541,3.5666666666666664,0.05415615318616574,20.3,https://i.ytimg.com/vi/bQgikiTB8GU/hqdefault.jpg
euYKNqPVR2k,[COVER] 원우 - TOMBOY (원곡 : 혁오),커버,2025-04-02,4855761,125070,9744,3.966666666666667,0.025757033758457223,20.2,https://i.ytimg.com/vi/euYKNqPVR2k/hqdefault.jpg
9E50rTADGlo,#청바지챌린지 👖 with #세븐틴 #SEVENTEEN #부석순 #BSS #BSS_TELEPARTY #부석순_청바지 #BSS_CBZ,기타,2025-01-19,2284494,253289,1638,0.4666666666666667,0.11087312989222121,19.5,https://i.ytimg.com/vi/9E50rTADGlo/hqdefault.jpg
FbfIaVzIl8A,𝐇𝐀𝐏𝐏𝐘 𝐁𝐔𝐑𝐒𝐓𝐃𝐀𝐘,기타,2025-04-21,614534,65875,1726,0.6833333333333333,0.10719504535143702,19.4,https://i.ytimg.com/vi/FbfIaVzIl8A/hqdefault.jpg
oEYfUzGId1U,#청바지챌린지 👖 with #준 #JUN #세븐틴 #SEVENTEEN #승관 #SEUNGKWAN #부석순 #BSS #BSS_TELEPARTY #부석순_청바지 #BSS_CBZ,기타,2025-01-14,2341302,292444,1437,0.5833333333333334,0.12490656907993929,19.0,https://i.ytimg.com/vi/oEYfUzGId1U/hqdefault.jpg
49-Mgy_WoG0,오랜만에 겸슈😸,기타,2025-02-21,2414158,316522,1304,0.2166666666666666,0.13111072266189702,18.8,https://i.ytimg.com/vi/49-Mgy_WoG0/hqdefault.jpg
7cpszKs3BY4,[NANA bnb with SEVENTEEN] Teaser,티저,2025-05-14,717546,74469,1908,1.9166666666666663,0.10378289336154059,18.6,https://i.ytimg.com/vi/7cpszKs3BY4/hqdefault.jpg
NlvD_gFqKiE,[INSIDE SEVENTEEN] 준 Harper’s BAZAAR Men 화보 촬영 비하인드 (JUN's Harper’s BAZAAR Men Shoot Sketch),INSIDE SEVENTEEN,2025-07-08,87905,14873,1428,4.75,0.16919401626756156,18.4,https://i.ytimg.com/vi/NlvD_gFqKiE/hqdefault.jpg
wf2e5KdIDpY,#Blue ❄️ by #YEJUN #예준 #NOAH #노아 #PLAVE #플레이브 #DxS #도겸X승관 #소야곡 #Serenade,기타,2026-01-19,450150,34214,2262,0.7833333333333333,0.07600577585249362,17.9,https://i.ytimg.com/vi/wf2e5KdIDpY/hqdefault.jpg
d07Pme0edXA,세븐틴(SEVENTEEN)이 전하는 2025 새해 인사 메시지💌,기타,2025-01-05,332401,50087,1863,7.683333333333334,0.1506824588373681,17.8,https://i.ytimg.com/vi/d07Pme0edXA/hqdefault.jpg
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,기타,2026-01-16,44946212,731392,9884,0.1333333333333333,0.016272606020725396,17.8,https://i.ytimg.com/vi/TiKF89XsYTM/hqdefault.jpg
crx1faTqeYs,도겨미는 괜찮아👋,기타,2025-01-22,608672,109108,904,0.2833333333333333,0.17925582251196046,17.7,https://i.ytimg.com/vi/crx1faTqeYs/hqdefault.jpg
oN5eIJieqOc,[EVERY WONWOO] EVERY WONWOO Coming Soon,기타,2025-04-10,468280,57128,1328,0.5833333333333334,0.12199538737507475,17.1,https://i.ytimg.com/vi/oN5eIJieqOc/hqdefault.jpg
ukJNM_INp68,[MINITEEN] House Party with MINITEEN!,기타,2025-06-11,433117,53509,1421,1.6333333333333333,0.12354398465079874,16.9,https://i.ytimg.com/vi/ukJNM_INp68/hqdefault.jpg
4IT2z7qFVOM,#동갑내기 🤝 with #MINGYU #민규 #THE8 #디에잇 #DK #도겸 #SEVENTEEN #세븐틴 #HxW #호시X우지 #96ers #BEAM,기타,2025-03-22,2821733,413020,1079,0.5166666666666667,0.14637104219286518,16.8,https://i.ytimg.com/vi/4IT2z7qFVOM/hqdefault.jpg
mopEDYi-1bg,[COVER] 정한 - なんでもないよ、 (아무것도 아니야) (원곡 : マカロニえんぴつ),커버,2025-10-03,1804015,72912,4839,3.1333333333333333,0.04041651538374127,16.7,https://i.ytimg.com/vi/mopEDYi-1bg/hqdefault.jpg
qRShZXjne9s,[EVERY WONWOO] 원우의 사계절 - 봄,기타,2025-05-17,448737,58448,2276,10.05,0.13025001281374168,16.6,https://i.ytimg.com/vi/qRShZXjne9s/hqdefault.jpg
sN9Kk4b4AS0,#청바지챌린지 👖 with 든든한 경호팀 시즌 6 #도겸 #DK #부석순 #BSS #BSS_TELEPARTY #부석순_청바지 #BSS_CBZ,기타,2025-01-15,1561603,212689,1135,0.4,0.13619914920757709,16.6,https://i.ytimg.com/vi/sN9Kk4b4AS0/hqdefault.jpg
