video_id,video_title,comment,like_count,published_at,author
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,이건 또 뭘까 새 유행인가..?,997,2026-01-16T12:31:40Z,@bss17012
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,Pov:Carats after watching Blue,756,2026-01-16T13:08:13Z,@pavanakochuthresia
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,진짜 쓸데없이 연기 잘하지 말라곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,810,2026-01-16T12:56:01Z,@SVTmcarat0526
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,아니 이거 올라온지 2달 밖에 안됐는데 인기순 2번째.. ㄷㄷ🫶,5,2026-04-03T01:39:22Z,@체yoonjen526
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,DK after that Harry Potter monthly meeting.,403,2026-01-16T17:59:59Z,@MarsAttacks-m2h
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,This exactly what happened with us dokyeom😢😢😢,536,2026-01-16T12:50:48Z,@RinaSingh28
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,Jhnn😢😢😢😢❤❤❤,12,2026-04-02T09:24:13Z,@DuyenLongDuy
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,ㅋㅋ 개웃겨 얼굴 쓸데없이 쓰지마아 우리 겸이이,23,2026-01-17T01:09:03Z,@투보세스사
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,I❤ you are not able to stop playing this the best,5,2026-04-01T05:42:58Z,@DzakiraSalsabila-o3s
TiKF89XsYTM,Blue한 도겸❄️🐰 #DxS #도겸X승관 #소야곡 #Serenade #Blue,저 공허한 눈이 왜케 귀엽지? ㅋㅋㅋ,255,2026-01-16T12:33:19Z,@애햄이._.400
